DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
240120309,10/22/2024 12:00:00 AM,06/22/2020 12:00:00 AM,1445,01,Central,0121,2,354,THEFT OF IDENTITY,0928,30,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,900 W  TEMPLE                       ST,,34.0607,-118.2494
240120333,10/23/2024 12:00:00 AM,10/23/2020 12:00:00 AM,1150,01,Central,0182,2,354,THEFT OF IDENTITY,0935,34,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,900 S  HILL                         ST,,34.042,-118.2625
240112350,06/04/2024 12:00:00 AM,12/31/2022 12:00:00 AM,1407,01,Central,0142,2,354,THEFT OF IDENTITY,0377 1822,32,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,400 S  HILL                         ST,,34.0519,-118.2531
240105477,01/17/2024 12:00:00 AM,11/22/2022 12:00:00 AM,1806,01,Central,0164,2,354,THEFT OF IDENTITY,0377 0344 1822,40,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,600 S  SPRING                       ST,,34.046,-118.251
240105683,01/24/2024 12:00:00 AM,01/05/2022 12:00:00 AM,1700,01,Central,0171,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,40,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,800 W  OLYMPIC                      BL,,34.045,-118.264
240109486,03/22/2024 12:00:00 AM,03/01/2020 12:00:00 AM,1445,01,Central,0162,2,354,THEFT OF IDENTITY,0930,35,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,800 S  HOPE                         ST,,34.0466,-118.259
240106628,01/22/2024 12:00:00 AM,01/01/2020 12:00:00 AM,1200,01,Central,0112,2,622,BATTERY ON A FIREFIGHTER,1822 0701 0800 0100,-4,X,X,203,OTHER BUSINESS,511,VERBAL THREAT,IC,Invest Cont,622,,,,300 N  SPRING                       ST,,34.0549,-118.2426
240104298,01/04/2024 12:00:00 AM,07/31/2022 12:00:00 AM,1200,01,Central,0101,2,354,THEFT OF IDENTITY,0930 1822 0344,25,F,J,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,900    FIGUEROA                     TR,,34.0663,-118.2442
240119844,10/11/2024 12:00:00 AM,01/02/2020 12:00:00 AM,1115,01,Central,0135,2,354,THEFT OF IDENTITY,0928,22,F,C,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,200 S  MAIN                         ST,,34.051,-118.2445
240109577,03/25/2024 12:00:00 AM,08/03/2022 12:00:00 AM,2000,01,Central,0182,1,310,BURGLARY,1822 0344,30,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,1200 S  FIGUEROA                     ST,,34.0419,-118.2669
240107044,02/12/2024 12:00:00 AM,09/27/2022 12:00:00 AM,1415,01,Central,0192,2,354,THEFT OF IDENTITY,1908 1822 0929 0928 0930 0344,24,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,1300 S  FIGUEROA                     ST,,34.0406,-118.268
240109805,04/01/2024 12:00:00 AM,07/10/2022 12:00:00 AM,0735,01,Central,0154,2,354,THEFT OF IDENTITY,0930 0928 0377,33,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,100 E  6TH                          ST,,34.046,-118.2493
240110375,04/16/2024 12:00:00 AM,05/12/2022 12:00:00 AM,1620,01,Central,0143,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,-1,X,X,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,IC,Invest Cont,440,,,,200 W  4TH                          ST,,34.0488,-118.2483
240105241,01/18/2024 12:00:00 AM,09/08/2022 12:00:00 AM,2230,01,Central,0131,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0400 0416 0419,30,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,100 S  FIGUEROA                     ST,,34.0569,-118.254
240107892,02/25/2024 12:00:00 AM,11/22/2022 12:00:00 AM,1159,01,Central,0128,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,-1,X,X,710,OTHER PREMISE,,,IC,Invest Cont,341,,,,300 E  TEMPLE                       ST,,34.0522,-118.2393
240117450,08/23/2024 12:00:00 AM,08/21/2022 12:00:00 AM,0100,01,Central,0161,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,900 W  7TH                          ST,,34.0494,-118.2599
240109492,03/25/2024 12:00:00 AM,03/25/2024 12:00:00 AM,1310,01,Central,0128,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1ST                          ST,SAN PEDRO                    ST,34.0504,-118.2409
240119441,10/04/2024 12:00:00 AM,08/29/2022 12:00:00 AM,0700,01,Central,0111,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,500 N  SPRING                       ST,,34.0571,-118.2405
240105023,01/16/2024 12:00:00 AM,01/17/2020 12:00:00 AM,1212,01,Central,0144,2,354,THEFT OF IDENTITY,0928 0929,27,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,400 S  MAIN                         ST,,34.0478,-118.2484
240106353,02/01/2024 12:00:00 AM,07/01/2020 12:00:00 AM,1630,01,Central,0111,2,354,THEFT OF IDENTITY,0917,31,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,500 N  BROADWAY,,34.058,-118.241
240109024,03/14/2024 12:00:00 AM,05/20/2020 12:00:00 AM,0750,01,Central,0124,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,52,F,H,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,440,,,,1ST,MAIN,34.0522,-118.2434
240109606,03/26/2024 12:00:00 AM,07/01/2022 12:00:00 AM,2203,01,Central,0131,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1501 1822,37,F,A,504,OTHER RESIDENCE,,,IC,Invest Cont,956,,,,100 S  FIGUEROA                     ST,,34.0569,-118.254
240105092,01/03/2024 12:00:00 AM,01/01/2022 12:00:00 AM,2320,01,Central,0181,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,54,F,O,741,STAPLES CENTER *,,,IC,Invest Cont,440,,,,1100 S  FIGUEROA                     ST,,34.0431,-118.2692
240109823,04/01/2024 12:00:00 AM,12/01/2022 12:00:00 AM,0001,01,Central,0152,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0397 1822 2032,25,M,K,108,PARKING LOT,,,IC,Invest Cont,341,,,,FIGUEROA,7TH                          ST,34.0494,-118.2599
240106627,01/22/2024 12:00:00 AM,01/01/2020 12:00:00 AM,1200,01,Central,0112,2,662,"BUNCO, GRAND THEFT",1820 1000 0800 0701,-4,M,A,203,OTHER BUSINESS,,,IC,Invest Cont,662,,,,300 N  SPRING                       ST,,34.0549,-118.2426
240121505,11/22/2024 12:00:00 AM,07/01/2020 12:00:00 AM,0130,01,Central,0158,2,354,THEFT OF IDENTITY,1822 0917 0922 0929 0925 0930 0928,32,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,600 S  CENTRAL                      AV,,34.039,-118.24
240108122,02/28/2024 12:00:00 AM,03/14/2022 12:00:00 AM,1505,01,Central,0185,2,354,THEFT OF IDENTITY,0928,27,M,C,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,1000 S  BROADWAY,,34.0409,-118.2574
240111128,05/07/2024 12:00:00 AM,08/24/2022 12:00:00 AM,0600,01,Central,0161,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,900 W  8TH                          ST,,34.0479,-118.2612
240104365,01/05/2024 12:00:00 AM,09/05/2022 12:00:00 AM,1450,01,Central,0166,2,354,THEFT OF IDENTITY,1501,69,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,600 S  SAN PEDRO                    ST,,34.0421,-118.2469
240116807,08/14/2024 12:00:00 AM,07/07/2022 12:00:00 AM,1000,01,Central,0182,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906 1822,34,F,O,248,CELL PHONE STORE,,,IC,Invest Cont,956,,,,1000 S  OLIVE                        ST,,34.0423,-118.2595
240121717,11/26/2024 12:00:00 AM,01/01/2020 12:00:00 AM,1145,01,Central,0158,2,354,THEFT OF IDENTITY,1822 0930 0935 0928 0929 0922,31,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,600 S  CENTRAL                      AV,,34.039,-118.24
240111103,05/06/2024 12:00:00 AM,05/06/2022 12:00:00 AM,1245,01,Central,0143,2,354,THEFT OF IDENTITY,0930 0928,29,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,400 S  BROADWAY,,34.0495,-118.2494
240110929,04/30/2024 12:00:00 AM,12/19/2022 12:00:00 AM,1000,01,Central,0151,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0929 0930 1822,0,X,X,602,BANK,,,IC,Invest Cont,341,,,,600 S  FIGUEROA                     ST,,34.0511,-118.2597
240109095,03/15/2024 12:00:00 AM,03/15/2022 12:00:00 AM,1455,01,Central,0162,2,354,THEFT OF IDENTITY,0930 0928 1822 0377,25,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,800 S  HOPE                         ST,,34.0466,-118.259
240109912,04/04/2024 12:00:00 AM,11/07/2022 12:00:00 AM,1320,01,Central,0182,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1501,37,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,956,,,,1200 S  FIGUEROA                     ST,,34.0419,-118.2669
240110275,04/14/2024 12:00:00 AM,06/04/2022 12:00:00 AM,0532,01,Central,0153,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0,X,X,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,IC,Invest Cont,740,,,,500 S  BROADWAY,,34.0481,-118.2507
240122945,12/26/2024 12:00:00 AM,08/11/2022 12:00:00 AM,1300,01,Central,0111,2,354,THEFT OF IDENTITY,0377,95,F,C,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,600 N  BROADWAY,,34.0585,-118.2403
240110279,04/14/2024 12:00:00 AM,03/09/2022 12:00:00 AM,2045,01,Central,0152,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0,X,X,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,IC,Invest Cont,740,,,,600 S  FLOWER                       ST,,34.0502,-118.2575
240116022,08/02/2024 12:00:00 AM,07/02/2022 12:00:00 AM,1355,01,Central,0166,2,354,THEFT OF IDENTITY,0377 0927 0928 0917,31,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,400 E  7TH                          ST,,34.0421,-118.2469
240109037,03/14/2024 12:00:00 AM,11/18/2022 12:00:00 AM,2359,01,Central,0112,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0,X,X,101,STREET,,,IC,Invest Cont,740,,,,300 N  BROADWAY,,34.0558,-118.2436
